"clusterid","birthorder","rural","facilitybirth","age","married","educat","wealth","pca","svyweight","latitude","longitude","xvar","yvar","surface_var"
34,2,1,1,23.25,1,2,2.7321,1.424757,3171840,18.594563,-72.215732,-6280.85979301707,2066.46896473964,2.95213196211726
34,1,1,1,21,1,1,8.7572,0.97825021,3171840,18.594563,-72.215732,-6280.85979301707,2066.46896473964,2.95213196211726
35,2,1,0,29,1,0,-8.4458,-1.294564,181872,18.305156,-72.051546,-6266.57995097412,2034.30630602707,0
35,6,1,0,32.083332,1,0,-13.0427,-1.6559949,181872,18.305156,-72.051546,-6266.57995097412,2034.30630602707,0
35,7,1,0,35.666668,1,0,-6.7455,-1.1608781,181872,18.305156,-72.051546,-6266.57995097412,2034.30630602707,0
35,3,1,0,29.333334,1,0,-7.5341,-1.2228817,181872,18.305156,-72.051546,-6266.57995097412,2034.30630602707,0
35,3,1,0,25.083334,1,0,-7.2675,-1.2019203,181872,18.305156,-72.051546,-6266.57995097412,2034.30630602707,0
35,2,1,0,18.083334,1,1,-7.4928,-0.29940474,181872,18.305156,-72.051546,-6266.57995097412,2034.30630602707,0
35,3,1,0,25.583334,1,0,-8.3807,-1.2894455,181872,18.305156,-72.051546,-6266.57995097412,2034.30630602707,0
36,2,1,0,27.833334,1,2,0.4774,1.2474813,579274,18.451321,-73.23825,-6369.79183062123,2050.55005621529,0.000201946257417774
36,1,1,1,16.583334,0,1,-5.7776,-0.16454728,579274,18.451321,-73.23825,-6369.79183062123,2050.55005621529,0.000201946257417774
36,1,1,1,22.5,1,2,1.5464,1.3315314,579274,18.451321,-73.23825,-6369.79183062123,2050.55005621529,0.000201946257417774
36,2,1,0,22,1,2,-8.1147,0.5719282,579274,18.451321,-73.23825,-6369.79183062123,2050.55005621529,0.000201946257417774
37,4,1,0,29.833334,1,1,-12.0063,-0.65427828,433777,18.468275,-74.396654,-6470.54235832717,2052.43420454554,0.0034597254532277
37,6,1,0,31.416666,1,0,-12.0246,-1.5759469,433777,18.468275,-74.396654,-6470.54235832717,2052.43420454554,0.0034597254532277
37,4,1,0,27.416666,1,1,-10.3586,-0.524728,433777,18.468275,-74.396654,-6470.54235832717,2052.43420454554,0.0034597254532277
37,3,1,0,25.25,1,1,-7.9415,-0.33468375,433777,18.468275,-74.396654,-6470.54235832717,2052.43420454554,0.0034597254532277
